x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
12643,,,,,Active,,,,,Sify_DataLinks_Fiber,GLOBALCOM IDC LIMITED,,,10970,
8931,,,,,Active,,,,,Sify_DataLinks_Fiber,TOJO INFRATEL,,,2,
21277,GigabitEthernet0/0/25,GigabitEthernet0/0/25,100.70.19.66,100.67.53.102,Active,21277,21277,,,Sify_DataLinks_Fiber,SUNIL COMMUNICATIONS AND ENTERPRISES,MH-CHN-CAK,MH-PUN-HOE,9.3,
21357,GigabitEthernet0/0/1,GigabitEthernet0/0/25,100.67.48.218,100.67.48.222,Active,21357,21357,,,Sify_DataLinks_Fiber,PRG,MH-AUR-AUR,MH-AUR-KET,6,
21896,,,,,Active,21896,21896,,Gbps,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,,,28,
22027,,,,,Active,22027,22027,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,13.5,
22305,,,,,Active,22305,22305,,,Sify_DataLinks_Fiber,ICC BROADBAND SOLUTIONS,,,5,
22386,,,,,Active,22386,22386,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,12.288,
22543,,,,,Active,22543,22543,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,1.996,
22905,,,,,Active,22905,22905,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,14,
23090,,,,,Active,23090,23090,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,15.107,
24430,,,,,Active,24430,24430,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,9.75,
24512,TwentyFiveGigE1/0/4,,100.71.89.10,,Active,24512,24512,,,Sify_DataLinks_Fiber,PURVI INFOCOM PVT LTD,MH-NGP-PLC,,2,
24535,TwentyFiveGigE1/0/1,,100.71.67.53,,Active,24535,24535,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,MH-SOP-PJA,,10,
24678,,,,,Active,24678,24678,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,15.036,
24743,TwentyFiveGigE2/0/10,,100.71.89.10,,Active,24743,24743,,,Sify_DataLinks_Fiber,UCN CABLE NETWORK PVT LTD,MH-NGP-PLC,,12.268,
25321,,,,,Active,25321,25321,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,25,
25325,,,,,Active,25325,25325,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,6,
25330,,,,,Active,25330,25330,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,67.8,
25333,,,,,Active,25333,25333,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,48.8,
11541,,,,,Active,8043100/ STLZ-DC CROSS CON-0005,8043100/ STLZ-DC CROSS CON-0005,,,Sify_DataLinks_Fiber,NXTRA DATA LIMITED,,,1,
12526,GigabitEthernet0/0/25,GigabitEthernet0/0/25,100.67.48.218,100.67.48.219,Active,,,,,Sify_DataLinks_Fiber,PRG,MH-AUR-AUR,MH-AUR-CIH,6.237,
14931,,,,,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,,,16.721,
14933,TenGigE0/0/0/16,TenGigabitEthernet1/2,100.71.75.65,100.66.38.170,Active,,,,,Sify_DataLinks_Fiber,DINESH ENGINEERS LTD,MH-MUM-WSD,MH-MUM-WSD,9.471,
