bstn,hostname,role,ip,root_ip,serialNumber,platform,model
TN-TNV-RZ5,TN-TNV-RZ5-C3-ST-CCE-E12T-S01,CCE,100.65.229.243,100.65.229.243,EC2247003245,EdgeCOS,ECS4100-12T
KA-MLR-O42,KA-MLR-O42-C3-ST-CCE-E12T-S01,CCE,100.67.95.48,100.67.95.48,EC2507001997,EdgeCOS,ECS4100-12T
DN-SLV-SZI,DN-SLV-SZI-B4-VM-ABS-US57-S01,ABS,100.70.207.134,100.70.207.134,21023538368YJ1002771,VRP,s5700S-28P-LI-AC
DN-SLV-OIK,DN-SLV-OIK-B4-VM-ABS-US57-S01,ABS,100.70.207.133,100.70.207.133,21023538368YH4000655,VRP,s5700S-28P-LI-AC
DN-SLV-OIK,DN-SLV-OIK-B4-VM-SMR-C184-R01,SMR,100.67.110.51,null,NA,IOS,cisco1841
PY-PDY-B76,PY-PDY-B76-C3-ST-CCE-C52A-S01,CCE,100.71.87.51,null,FOC2645R27F,IOS,ciscoN5204GAZA
TS-HYD-QM4,TS-HYD-QM4-C3-ST-CCE-E12T-S01,CCE,100.127.176.136,100.127.176.136,EC2316000159,EdgeCOS,ECS4100-12T
DN-SLV-E91,DN-SLV-E91-C3-ST-CCE-E12T-S01,CCE,100.72.67.99,100.72.67.99,EC2511002611,EdgeCOS,ECS4100-12T
KA-HSR-M96,KA-HSR-M96-C3-ST-CCE-E12T-S01,CCE,100.71.158.114,100.71.158.114,EC2511002655,EdgeCOS,ECS4100-12T
TS-HYD-N24,TS-HYD-N24-C3-ST-CCE-E12T-S01,CCE,100.127.249.138,100.127.249.138,EC2345003738,EdgeCOS,ECS4100-12T
AP-RJM-RMI,AP-RJM-RMI-B3-VM-ABS-US57-S01,ABS,100.64.200.156,100.64.200.156,21980105098YK5000338,VRP,s5700-28P-LI-BAT
TS-HYD-U48,TS-HYD-U48-C3-ST-CCE-E12T-S01,CCE,100.127.249.211,100.127.249.211,EC2345003773,EdgeCOS,ECS4100-12T
TS-HYD-ML6,TS-HYD-ML6-C3-ST-CCE-UL8T-S01,CCE,100.127.176.133,100.127.176.133,2S21A0011597,VRP,S5735-L8T4S-A1
TS-HYD-V11,TS-HYD-V11-C3-ST-CCE-E12T-S01,CCE,100.127.176.131,100.127.176.131,EC2337001461,EdgeCOS,ECS4100-12T
AP-VWD-VJW,AP-VWD-VJW-T2-ST-SBE-C1KX-R01,SBE,1.7.1.64,null,FXS2144Q3AY,IOS,ciscoASR1001X
TS-HYD-TG8,TS-HYD-TG8-C3-ST-CCE-UL8X-S01,CCE,100.127.176.138,100.127.176.138,4E22C0079188,VRP,NA
TS-HYD-K66,TS-HYD-K66-C3-ST-CCE-E12T-S01,CCE,100.127.249.213,100.127.249.213,EC2404000403,EdgeCOS,ECS4100-12T
TS-HYD-HYH,TS-HYD-HYH-B4-VM-ABS-US57-S01,ABS,100.65.209.50,100.65.209.50,21980105098YK6000358,VRP,s5700-28P-LI-BAT
TS-HYD-Z32,TS-HYD-Z32-C3-ST-CCE-E12T-S01,CCE,100.127.249.210,100.127.249.210,EC2404000297,EdgeCOS,ECS4100-12T
TN-MAA-TDL,TN-MAA-TDL-T1-ST-SDA-C1KX-R02,SDA,1.7.0.15,null,FXS2021Q21S,IOS,ciscoASR1001X
AP-NEL-SQP,AP-NEL-SQP-B4-VM-ABS-US57-S01,ABS,100.64.209.210,100.64.209.210,21023538368YJB001904,VRP,s5700S-28P-LI-AC
AP-PLK-PLL,AP-PLK-PLL-T3-VM-SBS-US57-S01,SBS,100.64.170.252,100.64.170.252,21980105098YKC000076,VRP,s5700-28P-LI-BAT
TS-HYD-PJ9,TS-HYD-PJ9-C3-ST-CCE-UL8T-S01,CCE,100.127.176.135,100.127.176.135,2S2230003316,VRP,S5735-L8T4S-A1
DN-SLV-SSO,DN-SLV-SSO-T3-IW-SBE-C1KX-R01,SBE,100.70.0.149,null,FXS2252Q2VE,IOS,ciscoASR1001X
PY-PDY-IH6,PY-PDY-IH6-C3-ST-CCE-U572-S01,CCE,100.67.68.92,100.67.68.92,21980105673GL4000728,VRP,s5720-12TP-LI-AC
UP-KAN-PM6,UP-KAN-PM6-C3-ST-CCE-UL8T-S01,CCE,100.64.117.4,100.64.117.4,4E2160094421,VRP,S5735-L8T4S-A1
